title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Condo for sale,88 Scott St UNIT 2401,Toronto,ON,M5E0A9,43.648412,-79.376466,"C$719,900",6,"2 bds, 1.0 ba ,None sqft",HomeLife/Leader Inc Brokerage,https://www.zillow.com/homedetails/88-Scott-St-UNIT-2401-Toronto-ON-M5E-0A9/2076964827_zpid/
Condo for sale,60 Colborne St #512,Toronto,ON,M5E0B7,43.649334,-79.374725,"C$1,049,000",9,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/60-Colborne-St-512-Toronto-ON-M5E-0B7/2084065057_zpid/
Condo for sale,22 Leader Ln #547,Toronto,ON,M5E0B2,43.649256,-79.375765,"C$529,900",13,"1 bds, 1.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/22-Leader-Ln-547-Toronto-ON-M5E-0B2/2081725156_zpid/
Townhouse for sale,39 Queens Quay #TOWNHOUSE,Toronto,ON,M5E0A5,43.642441,-79.372124,"C$2,590,000",14,"3 bds, 3.0 ba ,None sqft",Aimhome Realty Inc.,https://www.zillow.com/homedetails/39-Queens-Quay-TOWNHOUSE-Toronto-ON-M5E-0A5/2077035500_zpid/
Condo for sale,8 The Esplanade Ave #2310,Toronto,ON,M5E0A6,43.646158,-79.376273,"C$599,000",17,"1 bds, 1.0 ba ,None sqft",CENTURY 21 Atria Realty Inc Brokerage,https://www.zillow.com/homedetails/8-The-Esplanade-Ave-2310-Toronto-ON-M5E-0A6/2077337244_zpid/
Condo for sale,1 A The Esplanade #1103,Toronto,ON,M5E0A8,43.645773,-79.37605,"C$728,800",19,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/1-A-The-Esplanade-1103-Toronto-ON-M5E-0A8/2077078320_zpid/
Condo for sale,60 Colborne St #1208,Toronto,ON,M5E0B7,43.649272,-79.374689,"C$475,000",20,"0 bds, 1.0 ba ,None sqft",Kingsway Real Estate,https://www.zillow.com/homedetails/60-Colborne-St-1208-Toronto-ON-M5E-0B7/2077092529_zpid/
Condo for sale,88 Scott St UNIT 2304,Toronto,ON,M5E0A9,43.648412,-79.376466,"C$1,228,000",26,"3 bds, 2.0 ba ,None sqft",HomeLife BestSeller Realty Inc Brokerage,https://www.zillow.com/homedetails/88-Scott-St-UNIT-2304-Toronto-ON-M5E-0A9/2077151480_zpid/
Condo for sale,15 Lower Jarvis St #1312,Toronto,ON,M5E1Z2,43.645107,-79.369291,"C$689,000",28,"1 bds, 1.0 ba ,None sqft",Right At Home Realty Inc.,https://www.zillow.com/homedetails/15-Lower-Jarvis-St-1312-Toronto-ON-M5E-1Z2/2077174821_zpid/
Condo for sale,1 Scott St #308,Toronto,ON,M5E1A1,43.646832,-79.375216,"C$709,000",29,"1 bds, 1.0 ba ,None sqft",Union Capital Realty,https://www.zillow.com/homedetails/1-Scott-St-308-Toronto-ON-M5E-1A1/2077192016_zpid/
Condo for sale,88 Scott St #4101,Toronto,ON,M5E0A9,43.648412,-79.376466,"C$749,000",32,"1 bds, 1.0 ba ,None sqft",HomeLife/Miracle Realty Ltd Brokerage,https://www.zillow.com/homedetails/88-Scott-St-4101-Toronto-ON-M5E-0A9/2077988594_zpid/
Condo for sale,8 The Esplanade Ave #3710,Toronto,ON,M5E0A6,43.646235,-79.376348,"C$629,900",32,"1 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/8-The-Esplanade-Ave-3710-Toronto-ON-M5E-0A6/2077218698_zpid/
Condo for sale,3 Market St #407,Toronto,ON,M5E0A3,43.647245,-79.371137,"C$799,000",35,"2 bds, 1.0 ba ,None sqft",Right At Home Realty Inc.,https://www.zillow.com/homedetails/3-Market-St-407-Toronto-ON-M5E-0A3/2077239442_zpid/
Condo for sale,29 Queens Quay E #1208,Toronto,ON,M5E0A4,43.642277,-79.372704,"C$689,000",35,"1 bds, 1.0 ba ,None sqft",Century 21 Heritage Group Ltd.,https://www.zillow.com/homedetails/29-Queens-Quay-E-1208-Toronto-ON-M5E-0A4/2077242702_zpid/
Condo for sale,8 Colborne St #702,Toronto,ON,M5E1E1,43.648753,-79.377024,"C$395,000",37,"1 bds, 1.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/8-Colborne-St-702-Toronto-ON-M5E-1E1/2077276378_zpid/
Condo for sale,29 Queens Quay E Quay #1209,Toronto,ON,M5E0A4,43.642277,-79.372704,"C$1,080,000",37,"2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/29-Queens-Quay-E-Quay-1209-Toronto-ON-M5E-0A4/2077279422_zpid/
Condo for sale,29 Queens Quay E #618,Toronto,ON,M5E0A4,43.641361,-79.372513,"C$888,800",39,"3 bds, 1.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/29-Queens-Quay-E-618-Toronto-ON-M5E-0A4/2077299383_zpid/
Condo for sale,25 The Esplanade St #3009,Toronto,ON,M5E1W5,43.646153,-79.375208,"C$849,000",42,"3 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/25-The-Esplanade-St-3009-Toronto-ON-M5E-1W5/2077320602_zpid/
Condo for sale,3 Market St #632,Toronto,ON,M5E0A3,43.647245,-79.371137,"C$699,000",43,"1 bds, 1.0 ba ,None sqft",CENTURY 21 Atria Realty Inc Brokerage,https://www.zillow.com/homedetails/3-Market-St-632-Toronto-ON-M5E-0A3/2077337239_zpid/
Condo for sale,22 Leader Ln #542,Toronto,ON,M5E0B2,43.649256,-79.375765,"C$555,888",56,"1 bds, 1.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/22-Leader-Ln-542-Toronto-ON-M5E-0B2/2077479783_zpid/
Condo for sale,10 Yonge St #2108,Toronto,ON,M5E1R4,43.642422,-79.375582,"C$689,000",60,"1 bds, 1.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/10-Yonge-St-2108-Toronto-ON-M5E-1R4/2077523123_zpid/
Condo for sale,15 Lower Jarvis St #4301,Toronto,ON,M5E1Z2,43.645107,-79.369291,"C$1,695,000",62,"3 bds, 2.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/15-Lower-Jarvis-St-4301-Toronto-ON-M5E-1Z2/2077543391_zpid/
Condo for sale,15 Lower Jarvis St #704,Toronto,ON,M5E1Z2,43.645107,-79.369291,"C$599,000",63,"1 bds, 1.0 ba ,None sqft",HomeLife/Vision Realty Inc Brokerage,https://www.zillow.com/homedetails/15-Lower-Jarvis-St-704-Toronto-ON-M5E-1Z2/2078377487_zpid/
Condo for sale,8 The Esplanade Rd #1005,Toronto,ON,M5E0A6,43.646235,-79.376348,"C$719,000",63,"1 bds, 1.0 ba ,None sqft",Living Realty Inc.,https://www.zillow.com/homedetails/8-The-Esplanade-Rd-1005-Toronto-ON-M5E-0A6/2077554856_zpid/
Condo for sale,15 Lower Jarvis St #4303,Toronto,ON,M5E1Z2,43.645107,-79.369291,"C$1,200,000",65,"2 bds, 2.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/15-Lower-Jarvis-St-4303-Toronto-ON-M5E-1Z2/2077587458_zpid/
Condo for sale,8 The Esplanade St #2802,Toronto,ON,M5E0A6,43.646235,-79.376348,"C$1,150,000",66,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/8-The-Esplanade-St-2802-Toronto-ON-M5E-0A6/2077600529_zpid/
Condo for sale,12 Yonge St #2801,Toronto,ON,M5E1Z9,43.643162,-79.376261,"C$589,999",70,"1 bds, 1.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/12-Yonge-St-2801-Toronto-ON-M5E-1Z9/2077642259_zpid/
Condo for sale,8 The Esplanade #1305,Toronto,ON,M5E0A6,43.646158,-79.376273,"C$798,888",70,"2 bds, 1.0 ba ,None sqft",Right At Home Realty Inc.,https://www.zillow.com/homedetails/8-The-Esplanade-1305-Toronto-ON-M5E-0A6/2077649869_zpid/
Condo for sale,60 Colborne St #901,Toronto,ON,M5E0B7,43.649334,-79.374725,"C$499,900",72,"0 bds, 1.0 ba ,None sqft",The Condo Store Realty Inc.,https://www.zillow.com/homedetails/60-Colborne-St-901-Toronto-ON-M5E-0B7/2082967974_zpid/
Condo for sale,1 Scott St #211,Toronto,ON,M5E1A1,43.646832,-79.375216,"C$988,000",84,"1 bds, 2.0 ba ,None sqft",Slavens,https://www.zillow.com/homedetails/1-Scott-St-211-Toronto-ON-M5E-1A1/2078887494_zpid/
Condo for sale,22 Leader Ln UNIT 341,Toronto,ON,M5E0B2,43.649256,-79.375765,"C$499,000",87,"1 bds, 1.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/22-Leader-Ln-UNIT-341-Toronto-ON-M5E-0B2/2084505792_zpid/
Condo for sale,25 The Esplanade #319,Toronto,ON,M5E1W5,43.646153,-79.375208,"C$534,900",97,"1 bds, 1.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/25-The-Esplanade-319-Toronto-ON-M5E-1W5/2077961908_zpid/
Condo for sale,60 Colborne St #1205,Toronto,ON,M5E0B7,43.649334,-79.374725,"C$509,000",99,"0 bds, 1.0 ba ,None sqft",HomeLife Gold Pacific Realty Inc Brokerage,https://www.zillow.com/homedetails/60-Colborne-St-1205-Toronto-ON-M5E-0B7/2077986216_zpid/
Condo for sale,25 The Esplanade #317,Toronto,ON,M5E1W5,43.646153,-79.375208,"C$799,000",119,"1 bds, 1.0 ba ,None sqft",Slavens,https://www.zillow.com/homedetails/25-The-Esplanade-317-Toronto-ON-M5E-1W5/2078263092_zpid/
Condo for sale,35 Church St #211,Toronto,ON,M5E1T3,43.649285,-79.373822,"C$739,000",127,"1 bds, 1.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/35-Church-St-211-Toronto-ON-M5E-1T3/2078372106_zpid/
Condo for sale,18 Yonge St #2603,Toronto,ON,M5E1Z8,43.644541,-79.376477,"C$785,000",161,"2 bds, 2.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/18-Yonge-St-2603-Toronto-ON-M5E-1Z8/2078857854_zpid/
Condo for sale,8 Colborne St #2303,Toronto,ON,M5E1E1,43.648753,-79.377024,"C$499,999",242,"1 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/8-Colborne-St-2303-Toronto-ON-M5E-1E1/2080090545_zpid/
House for sale,The Prestige 1 Yonge St,Toronto,ON,M5E1W7,43.642742,-79.37411,"C$900,000",286,"0 bds, None ba ,3500 sqft",CENTURY 21 Kennect Realty Inc Brokerage,https://www.zillow.com/homedetails/The-Prestige-1-Yonge-St-Toronto-ON-M5E-1W7/2086889567_zpid/
House for sale,1 Yonge St,Toronto,ON,M5E1E6,43.643264,-79.374377,"C$700,000",519,"1 bds, None ba ,520 sqft",CENTURY 21 Kennect Realty Inc Brokerage,https://www.zillow.com/homedetails/1-Yonge-St-Toronto-ON-M5E-1E6/2087450544_zpid/
